value,timestamp
+0.17863836,2018-01-29 21:24
+0.04193375,2018-01-29 22:23
+0.05314929,2018-01-30 00:23
+0.10214157,2018-01-30 01:23
+0.07850018,2018-01-30 02:23
+0.11956136,2018-01-30 03:24
+0.15873324,2018-01-30 04:23
+0.13650134,2018-01-30 05:23
+0.13359925,2018-01-30 06:23
+0.15953351,2018-01-30 07:23
+0.07689828,2018-01-30 08:23
+0.10539109,2018-01-30 09:25
+0.07120196,2018-01-30 10:23
+0.06028569,2018-01-30 11:23
+0.1532676,2018-01-30 12:23
+0.08759313,2018-01-30 13:23
+0.08639231,2018-01-30 14:24
+0.15896349,2018-01-30 15:23
+0.11338896,2018-01-30 16:24
+0.1224858,2018-01-30 17:24
+0.13503777,2018-01-30 18:23
+0.08195227,2018-01-30 19:23
+0.09710421,2018-01-30 20:25
+0.11930587,2018-01-30 21:24
+0.03517873,2018-01-30 22:24
+0.08744036,2018-01-31 00:23
+0.15578192,2018-01-31 01:23
+0.08701659,2018-01-31 02:23
+0.13263564,2018-01-31 03:24
+0.08290684,2018-01-31 04:25
+0.12530931,2018-01-31 05:23
+0.12609449,2018-01-31 06:23
+0.07798279,2018-01-31 07:23
+0.16266109,2018-01-31 08:23
+0.08822546,2018-01-31 09:24
+0.12669305,2018-01-31 10:23
+0.1436263,2018-01-31 11:23
+0.127542,2018-01-31 12:23
+0.1441881,2018-01-31 13:23
+0.06103147,2018-01-31 14:23
+0.03772406,2018-01-31 14:32
+0.07150762,2018-01-31 15:33
+0.0350453,2018-01-31 16:34
+0.20091311,2018-01-31 17:32
+0.11337011,2018-01-31 18:31
+0.08205077,2018-01-31 19:32
+0.01119354,2018-01-31 20:31
+0.03394202,2018-01-31 21:34
+0.13162885,2018-01-31 22:33
+0.04017946,2018-01-31 23:31
+0.05791265,2018-02-01 01:32
+0.08144319,2018-02-01 02:31
+0.09354091,2018-02-01 03:32
+0.18801438,2018-02-01 04:31
+0.0660584,2018-02-01 05:31
+0.08993798,2018-02-01 06:31
+0.09276744,2018-02-01 07:32
+0.17125059,2018-02-01 08:32
+0.14049386,2018-02-01 09:31
+0.09272873,2018-02-01 10:31
+0.0675427,2018-02-01 11:31
+0.1093805,2018-02-01 12:32
+0.09204879,2018-02-01 13:31
+0.10119138,2018-02-01 14:31
+0.05849944,2018-02-01 15:32
+0.13213369,2018-02-01 16:32
+0.04805762,2018-02-01 17:33
+0.04863341,2018-02-01 18:34
+0.16667086,2018-02-01 19:31
+0.0485218,2018-02-01 20:31
+0.08097483,2018-02-01 21:31
+0.07036609,2018-02-01 22:33
+0.01954105,2018-02-01 23:32
+0.0513696,2018-02-02 00:33
+0.09153483,2018-02-02 01:32
+0.06616365,2018-02-02 02:31
+0.0808565,2018-02-02 03:31
+0.07555027,2018-02-02 04:31
+0.06895513,2018-02-02 05:31
+0.05562346,2018-02-02 06:31
+0.10869651,2018-02-02 07:32
+0.11841883,2018-02-02 08:31
+0.10028539,2018-02-02 09:31
+0.10446923,2018-02-02 10:32
+0.11389893,2018-02-02 11:32
+0.14185708,2018-02-02 12:31
+0.13963973,2018-02-02 13:32
+0.15419108,2018-02-02 14:31
+0.05935157,2018-02-02 15:32
+0.11759565,2018-02-02 16:31
+0.07680192,2018-02-02 17:31
+0.1961687,2018-02-02 18:32
+0.16204825,2018-02-02 19:31
+0.1366407,2018-02-02 20:31
+0.07486593,2018-02-02 21:31
+0.11751597,2018-02-02 22:31
